row_number,instruction,original_path,edited_path,model_path,semantic_consistency,perceptual_quality,overall,rationale
12,add yellow tulle stripes to the side seams to bow front panel and back panel together,extracted_images/12.png,local_model_evaluation_results/edited_images/12_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edited image successfully adds yellow tulle stripes to the side seams and ties them into a bow at the front, following the instruction closely. The visual quality is high, with the tulle appearing realistic and well-integrated with the original shirt. The text remains legible and properly positioned. The overall effect is visually appealing and closely matches the given instruction."
13,cut the top part to have a belted straight wide wrap skirt as the bottom part already is,extracted_images/13.png,local_model_evaluation_results/edited_images/13_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image successfully follows the instruction to create a belted, straight wide wrap skirt. However, the top part of the original garment has been removed, but the bottom part does not fully resemble a wrap skirt with a belt. The visual quality is good, but the transformation could be more seamless and accurate to the instruction."
14,cut the bottom part to have a cropped sleeveless vest,extracted_images/14.png,local_model_evaluation_results/edited_images/14_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image successfully follows the instruction to create a sleeveless vest by cutting the bottom part of the original garment. However, the color change from cream to green is not consistent with the original item, which slightly reduces the perceptual quality. The overall transformation is well-executed but could benefit from maintaining the original color for better consistency."
15,dip into back colour from bottom up to hipline,extracted_images/15.png,local_model_evaluation_results/edited_images/15_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,9,8.5,"The edited image follows the instruction 'dip into back colour from bottom up to hipline' quite well, with the lower part of the garment blending into the background. The visual quality is high, with minimal distortion and a clean finish. The overall effect is visually appealing and closely aligns with the given instruction."
16,"colour the printed design of the dress as if overpainted by hand partly, keeping the white ground, use at all light rose beige shades, add white tulle frame to sleeves hem and hem",extracted_images/16.png,local_model_evaluation_results/edited_images/16_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image follows the instruction fairly well, with the printed design of the dress overpainted in light rose beige shades and the white ground preserved. The white tulle frame on the sleeves and hem is also present, enhancing the visual appeal. However, the color consistency and the hand-painted effect could be improved for better perceptual quality."
17,"cut the bottom part, half of the piece and replace by black tulle bottom part",extracted_images/17.png,local_model_evaluation_results/edited_images/17_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edited image closely follows the instruction to cut the bottom part of the garment and replace it with a black tulle bottom part. The semantic consistency is high, with the bottom half of the garment accurately replaced by black tulle. The perceptual quality is good, with the integration of the tulle appearing natural and visually appealing. The overall effect is a creative and well-executed edit."
18,"cut the sleeves make the shoulder higher and armhole with a black tulle framing, apply black tulle pieces to elevate the print design (on eyes and mouth)",extracted_images/18.png,local_model_evaluation_results/edited_images/18_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edited image successfully follows the instruction by cutting the sleeves and making the shoulder higher. The black tulle framing around the armholes and the elevated print design on the eyes and mouth are well-executed. The visual quality of the edited image is high, with the black tulle blending seamlessly with the overall design. The only minor issue is that the tulle framing could be slightly more refined, but overall, the edit is very well done."
19,"put 30cm wide tulle straps that cross in center front to the cleavage, show bows on the shoulder with straps end hanging down for 50cm",extracted_images/19.png,local_model_evaluation_results/edited_images/19_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,9,8.5,"The edited image successfully adds tulle straps that cross in the center front and extend to the cleavage, with bows on the shoulder and the straps hanging down for approximately 50cm. The visual quality of the edited image is high, with the new elements blending well with the original image. The overall effect is quite realistic and aesthetically pleasing."
20,"put 30cm wide tulle strap only on the right side that cross in center front to the cleavage, show bows on the shoulder with straps end hanging down for 50cm",extracted_images/20.png,local_model_evaluation_results/edited_images/20_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,9,8.5,"The edited image follows the instruction fairly well, with a tulle strap added to the right side that crosses in the center front to the cleavage. The bows are visible on the shoulder, and the straps end hanging down, though the exact length is difficult to determine from the image. The visual quality of the edited image is high, with realistic integration of the tulle strap and bows. The overall effect is elegant and well-executed."
21,add thick black thread stitches horizontally,extracted_images/21.png,local_model_evaluation_results/edited_images/21_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,8,8.0,"The edited image successfully adds thick black thread stitches horizontally across the image, following the instruction closely. The visual quality of the edited image is good, with the stitches appearing realistic and well-integrated into the scene. However, the stitches are slightly inconsistent in thickness and spacing, which slightly reduces the overall score."
22,attach gathered black raw edged black fabric tapes narrow and vertically in the shape of a bib to highlight the chest part of the blouse,extracted_images/22.png,local_model_evaluation_results/edited_images/22_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,7,8,7.5,"The edited image follows the instruction to a reasonable extent by adding a black fabric element to the chest area. However, the fabric appears to be more ruffled and sheer rather than narrow and vertically aligned as raw edged black fabric tapes. The visual quality of the edited image is good, but the interpretation of the instruction could be more precise."
23,attach a black padded bib opened in the center front n the width of the button placket,extracted_images/23.png,local_model_evaluation_results/edited_images/23_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,8,8.0,"The edited image successfully attaches a black padded bib to the front of the shirt, which is opened in the center. The width of the bib aligns well with the button placket. However, the zipper detail in the bib is not part of the original instruction and slightly detracts from the semantic consistency. The visual quality of the edited image is good, with minimal distortion and well-integrated new elements."
24,topstitch the upper part with thick thread in the shape of a womans portrait,extracted_images/24.png,local_model_evaluation_results/edited_images/24_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edited image successfully follows the instruction to 'topstitch the upper part with thick thread in the shape of a woman's portrait.' The portrait is clearly visible and well-integrated into the design. The visual quality of the edited image is high, with the portrait stitching appearing neat and precise. The overall effect is aesthetically pleasing and aligns well with the given instruction."
25,dipdye in rose beige from buttom,extracted_images/25.png,local_model_evaluation_results/edited_images/25_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edited image successfully follows the instruction of 'dipdye in rose beige from bottom' with a clear gradient effect transitioning from white to rose beige. The transition is smooth and visually appealing. The overall quality of the edited image is high, with only minor inconsistencies in the gradient at the edges."
26,"make longer by adding white tulle underskirt that looks 10cm out of the long skirt part, add long white tulle sleeves",extracted_images/26.png,local_model_evaluation_results/edited_images/26_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,8,8.0,"The edited image successfully adds a white tulle underskirt that extends about 10cm beyond the original skirt, and includes long white tulle sleeves. The edits are well-integrated with the original image, maintaining a consistent and harmonious look. The visual quality is high, with the tulle appearing realistic and blending well with the original dress. The overall effect is aesthetically pleasing and closely follows the given instruction."
27,"make longer by adding white tulle underskirt that looks 20cm out of the long skirt part, add long white wing sleeves",extracted_images/27.png,local_model_evaluation_results/edited_images/27_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image successfully adds a white tulle underskirt that extends the length of the skirt by approximately 20cm, following the instruction closely. Additionally, long white wing sleeves are added, which aligns well with the given editing instruction. However, the visual quality of the edited image has some minor issues, such as slight blurriness and minor inconsistencies in the fabric texture, which slightly detract from the overall realism and quality."
28,add black tulle shoulder yoke and long tulle sleeves as well as ablack tulle hemframe,extracted_images/28.png,local_model_evaluation_results/edited_images/28_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,8,8.0,"The edited image successfully adds a black tulle shoulder yoke and long tulle sleeves, which aligns well with the instruction. The black tulle hemframe is also present, though it blends somewhat with the white dress, making it less noticeable. The visual quality of the edited image is high, with the tulle additions looking realistic and well-integrated. Overall, the edit is quite successful but could benefit from a more distinct hemframe."
29,"topstitch huge black tulle breast pockets over the initial position, cut the bottom part of the dress and add a transparent tulle layer skirtpart",extracted_images/29.png,local_model_evaluation_results/edited_images/29_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,7,8,7.5,"The edited image follows the instruction reasonably well, with the addition of black tulle over the breast pockets and a transparent tulle layer skirt. However, the topstitching and the cut of the bottom part of the dress are not as prominently visible or accurately executed as described. The visual quality of the edited image is good, but there is some inconsistency in the execution of the instructions."
30,insert 10cm wide black tulle stripe to the sideseam,extracted_images/30.png,local_model_evaluation_results/edited_images/30_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image successfully adds a black tulle stripe to the sideseam of the garment, following the instruction closely. However, the width of the tulle stripe appears slightly wider than 10cm, which affects the perceptual quality. The visual quality of the edited image is good but could be improved for better consistency with the instruction."
31,remove sleeves add a transparent tulle stripe that is inserted to the waistline as another fabric block,extracted_images/31.png,local_model_evaluation_results/edited_images/31_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image successfully removes the sleeves and adds a transparent tulle stripe at the waistline, which aligns well with the instruction. However, the integration of the tulle stripe could be more seamless, and the overall visual quality has some minor inconsistencies, such as slight color mismatches and minor distortions around the waistline."
32,"shorten the dress to knee length, shorten sleeves to 3/4 sleeve, add voluminous bow with long bands to the waistline to gather voluminius skirt",extracted_images/32.png,local_model_evaluation_results/edited_images/32_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,8,8.0,"The edited image successfully shortens the dress to knee length and modifies the sleeves to 3/4 length, which aligns well with the given instructions. Additionally, a voluminous bow with long bands has been added to the waistline, enhancing the skirt's volume. The visual quality of the edited image is good, with minimal distortion and a natural appearance. However, there are slight inconsistencies in the pattern matching at the sleeve and bow attachments, which slightly reduces the overall score."
33,"make a short very puffy sleeve, add hemframe in goldlamé fabric to the kneelength volumninous skirt, remove the waistband",extracted_images/33.png,local_model_evaluation_results/edited_images/33_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,9,8.5,"The edited image successfully follows the instruction by creating a short dress with very puffy sleeves and a hemframe in gold lamé fabric. The waistband has been removed, and the dress has a voluminous skirt. The visual quality of the edited image is high, with realistic fabric textures and good integration of the changes. However, there are minor inconsistencies in the sleeve design and the overall fit, which slightly reduces the semantic consistency score."
34,"insert 20cm wide white tulle stripe vertically to centerfront and sideseams and center back to make the dress wider and belt the volume in the waistwith bow, shorten sleeve",extracted_images/34.png,local_model_evaluation_results/edited_images/34_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image follows the instruction fairly well by adding a white tulle stripe to the center front, side seams, and center back of the dress, which makes the dress wider. The addition of a bow at the waist and the shortening of the sleeves are also present. However, the integration of the tulle with the original dress pattern is not seamless, and the visual quality of the tulle addition appears slightly artificial. The overall effect is visually noticeable but could be more refined."
35,remove sleeves add 20cm long flat peplum,extracted_images/35.png,local_model_evaluation_results/edited_images/35_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image successfully removes the sleeves and adds a 20cm long flat peplum, closely following the instruction. However, the transition between the original garment and the added peplum appears slightly unnatural, and the overall visual quality is slightly compromised due to minor distortions and inconsistencies in the fabric texture."
36,"make the item longer by adding one same jacket sewn upside down to the hem (hem to hem), it is opened to the bottom by cutting the shoulder and neckline, remove all sleeves to get a midi slip dress",extracted_images/36.png,local_model_evaluation_results/edited_images/36_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,8,8.0,"The edited image successfully transforms the jacket into a midi slip dress by extending the length and removing the sleeves. The shoulder and neckline modifications are well-executed, and the fabric appears consistent. However, there are minor inconsistencies in the fabric texture and slight misalignments in the hem, which slightly detract from the overall realism and quality."
37,"add scarf in same fabric to the neckline, shorten sleeves",extracted_images/37.png,local_model_evaluation_results/edited_images/37_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edited image successfully adds a scarf in the same fabric to the neckline and shortens the sleeves, closely following the instruction. The visual quality is high, with the added scarf and shortened sleeves blending well with the original garment. The overall effect is realistic and aesthetically pleasing."
38,shorten sleeve attach balloon pockets to the short sleeves,extracted_images/38.png,local_model_evaluation_results/edited_images/38_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image successfully shortened the sleeves and added balloon pockets, following the instruction closely. However, the balloon sleeves appear slightly disproportionate compared to the rest of the jacket, which slightly reduces the perceptual quality. Overall, the edit is well-executed but could benefit from minor adjustments for better visual harmony."
39,"attach frame to the hem in same fabric, add padded stiff wrapped scarf in same fabric",extracted_images/39.png,local_model_evaluation_results/edited_images/39_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image successfully follows the instruction to add a padded, stiff-wrapped scarf in the same fabric as the hem frame. However, the integration of the scarf appears slightly artificial, and the visual quality could be improved for a more seamless blend with the original garment."
40,remove collar and sleeves,extracted_images/40.png,local_model_evaluation_results/edited_images/40_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edited image successfully removes the collar and sleeves, closely following the instruction. The visual quality is high, with minimal artifacts and a smooth transition between the edited and original areas. The overall effect is very natural and well-executed."
41,make cutouts in the waistline,extracted_images/41.png,local_model_evaluation_results/edited_images/41_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,8,8.0,"The edited image successfully follows the instruction to make cutouts in the waistline, which is evident from the oval-shaped cutouts on both sides of the waist. The visual quality of the edited image is good, with the cutouts appearing clean and well-integrated into the design. However, the cutouts are slightly unusual for a typical blazer design, which slightly affects the overall score."
42,cut away collar and sleeves make longer with a hem frame in same fabric,extracted_images/42.png,local_model_evaluation_results/edited_images/42_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,7,8,7.5,"The edited image successfully removes the collar and extends the sleeves with a hem frame in the same fabric, following the instruction reasonably well. However, the fringe added to the hem of the sleeves is not part of the original instruction and slightly detracts from the overall quality. The visual quality of the edited image is good, but the fringe addition lowers the score slightly."
43,"shorten as cropped jacket, attach shoulder epaulettes in same fabric",extracted_images/43.png,local_model_evaluation_results/edited_images/43_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edited image successfully shortens the jacket and attaches shoulder epaulettes in the same fabric, closely following the instruction. The visual quality is high, with the epaulettes seamlessly integrated into the jacket. The overall effect is polished and professional, with only minor discrepancies in the fabric texture around the epaulettes."
44,"make the item longer by sewing another same blouse to the hem, the shoulder and neckline of second other bottom blouse is cut away to be be attached to the hem, sleeves of lower blouse are now at the hipline and can be used as belt",extracted_images/44.png,local_model_evaluation_results/edited_images/44_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,8,8.0,"The edited image successfully follows the instruction to make the item longer by sewing another same blouse to the hem. The shoulder and neckline of the second blouse have been cut away and attached to the hem, and the sleeves of the lower blouse are now at the hipline and can be used as a belt. The visual quality of the edited image is good, with minimal distortion and a seamless integration of the two blouses. However, the overall effect is slightly less natural due to the simplicity of the belt created from the sleeves."
45,"make crop top, add ruffle in same fabric to the armhole and shoulder seam to highlicht shoulder",extracted_images/45.png,local_model_evaluation_results/edited_images/45_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edited image successfully follows the instruction to make a crop top and add ruffles to the armhole and shoulder seam, highlighting the shoulders. The ruffles are well-integrated and visually appealing. However, there is a slight discrepancy in the fabric texture consistency and the overall fit looks slightly altered, which slightly affects the perceptual quality."
46,insert tulle shoulder yoke,extracted_images/46.png,local_model_evaluation_results/edited_images/46_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edited image successfully follows the instruction to insert a tulle shoulder yoke, maintaining a high level of semantic consistency. The visual quality is good, with the tulle seamlessly integrated into the design. However, there are minor inconsistencies in the shadowing and lighting, which slightly affect the perceptual quality."
47,add wide tulle sleeves,extracted_images/47.png,local_model_evaluation_results/edited_images/47_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edited image successfully adds wide tulle sleeves to the original sleeveless dress, closely following the instruction. The visual quality of the edited image is high, with the tulle sleeves appearing realistic and well-integrated with the rest of the dress. The overall effect is aesthetically pleasing and accurately reflects the intended edit."
48,add voluminous tulle bow to gather the neckline,extracted_images/48.png,local_model_evaluation_results/edited_images/48_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edited image successfully adds a voluminous tulle bow to the neckline, closely following the instruction. The visual quality is high, with the bow appearing realistic and well-integrated with the original garment. The overall effect is aesthetically pleasing and aligns well with the given editing instruction."
49,add tulle hemframe,extracted_images/49.png,local_model_evaluation_results/edited_images/49_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edited image successfully adds a tulle hemframe to the original garment, closely following the instruction. The visual quality is high, with the tulle appearing realistic and well-integrated with the main fabric. The overall effect is aesthetically pleasing and accurately reflects the intended edit."
50,add wide tulle sleeves,extracted_images/50.png,local_model_evaluation_results/edited_images/50_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edited image successfully adds wide, tulle-like sleeves to the original sleeveless dress, closely following the instruction. The visual quality is high, with the sleeves appearing natural and well-integrated with the rest of the dress. The overall effect is aesthetically pleasing and accurately interprets the editing instruction."
51,add voluminous tulle bow to gather the neckline,extracted_images/51.png,local_model_evaluation_results/edited_images/51_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,8,8.0,"The edited image successfully adds a voluminous tulle bow to the neckline, closely following the instruction. The visual quality of the edited image is high, with the bow appearing realistic and well-integrated with the original dress. However, the integration could be slightly smoother, and the bow's volume is somewhat less pronounced than ideally specified."
52,"add voluminous tulle bow to gather the neckline, shorten to blouse and make wide sleeves in same fabric",extracted_images/52.png,local_model_evaluation_results/edited_images/52_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edited image successfully adds a voluminous tulle bow to the neckline, shortens the blouse, and makes the sleeves wide, all in the same fabric. The changes are consistent with the given instruction. The visual quality of the edited image is good, with the new elements blending well with the original fabric. The overall effect is a well-executed transformation of the garment."
53,"betone die raffung mit einem zusätzlich aufgesteppten weissen band, mache weisse grobe vertikale stiche auf das rückteil",extracted_images/53.png,local_model_evaluation_results/edited_images/53_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image follows the instruction to add a white band to the back of the jacket and add white vertical stitches. However, the white band is not perfectly aligned and the stitches are not as coarse as described. The visual quality is good but could be improved for better alignment and texture matching."
54,"insert white wide back panel below the gathering, make it a bit longer like a train",extracted_images/54.png,local_model_evaluation_results/edited_images/54_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image successfully adds a white back panel below the gathering, making it longer like a train. However, the integration of the new panel with the existing garment could be smoother, and there are slight visual inconsistencies in the fabric texture and alignment. The overall effect is visually acceptable but not perfect."
55,add more horizontal drawstrings to the backpanel to tighten it,extracted_images/55.png,local_model_evaluation_results/edited_images/55_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image successfully adds more horizontal drawstrings to the backpanel, which aligns well with the instruction. However, the visual quality of the added drawstrings appears slightly artificial and does not blend perfectly with the original fabric texture. The overall effect is acceptable but could benefit from improved integration of the new elements with the existing design."
56,add frame of white fabric to the horzontal pleat at the chest and to the sideseams,extracted_images/56.png,local_model_evaluation_results/edited_images/56_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image successfully adds a white frame to the horizontal pleat at the chest, following the instruction closely. However, the white fabric added to the sides seems less accurate and blends poorly with the original fabric, affecting the overall visual quality. The white frame at the chest is well-executed, but the side seams could be improved for better consistency and quality."
57,add frame of 10cm white gathered tulle to the horizontal pleat at the chest and to the sideseam,extracted_images/57.png,local_model_evaluation_results/edited_images/57_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,8,8.0,"The edited image successfully adds a frame of white gathered tulle to the horizontal pleat at the chest and to the side seam, following the instruction closely. The visual quality of the edited image is good, with the tulle appearing realistic and well-integrated with the original garment. However, the exact measurement of 10cm is not clearly discernible from the image, and there is a slight discrepancy in the placement of the tulle on the side seam."
58,add frame of 10cm black tulle to the horizontal pleat at the chest and to the hem,extracted_images/58.png,local_model_evaluation_results/edited_images/58_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image successfully adds a black tulle frame to the horizontal pleat at the chest and to the hem, following the instruction closely. However, the visual quality of the tulle could be improved for a more realistic appearance, and the overall design appears slightly unbalanced."
59,add a white volant to the hem to fill the gap,extracted_images/59.png,local_model_evaluation_results/edited_images/59_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edit successfully adds a white volant to the hem of the skirt, filling the gap as instructed. The white volant is visually consistent with the rest of the skirt, though there are slight inconsistencies in the fabric texture and lighting, which slightly reduces the perceptual quality. Overall, the edit is well-executed and closely follows the instruction."
60,add a black transparent volant to the hem to fill the gap straight,extracted_images/60.png,local_model_evaluation_results/edited_images/60_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image successfully adds a black transparent volant to the hem, which fills the gap and maintains a straight appearance. However, the transparency of the volant is not perfectly aligned with the original fabric texture, and there are slight inconsistencies in the way the fabric drapes. These minor issues affect the perceptual quality but the overall effect is quite close to the instruction provided."
61,cut the bottompart of the skirt and gather it to the waist like a hugne peplum,extracted_images/61.png,local_model_evaluation_results/edited_images/61_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,8,8.0,"The edited image successfully follows the instruction to cut the bottom part of the skirt and gather it to the waist, creating a peplum effect. The visual quality is high, with the fabric appearing realistic and the folds well-executed. The overall transformation is coherent and aesthetically pleasing."
62,"Vorne geschlossen

Ärmel entfernen

Einen transparenten langen schwarzen Rockteil unten ansetzen

Ballonartige eckige Taschen aus dem Jackenstoff hinzufügen",extracted_images/62.png,local_model_evaluation_results/edited_images/62_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,7,6,6.5,"The edited image follows the instruction to remove the jacket and shirt, leaving the person shirtless, which is consistent with 'Vorne geschlossen'. However, the instruction to remove the sleeves and add a transparent long black skirt at the bottom is not followed. The ballonartige eckige Taschen aus dem Jackenstoff is also not added. The visual quality of the edited image is decent but lacks the detailed modifications specified in the instruction."
