row_number,instruction,original_path,edited_path,model_path,lora_name,semantic_consistency,perceptual_quality,overall,rationale
12,add yellow tulle stripes to the side seams to bow front panel and back panel together,extracted_images/12.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/12_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,9,8.5,"The edited image successfully adds yellow tulle stripes to the side seams and a bow to the front panel, which aligns well with the instruction. The visual quality of the edited image is high, with the tulle and bow looking realistic and well-integrated. However, the instruction mentioned 'back panel' which is not clearly visible in the edited image, leading to a slight deduction in semantic consistency."
13,cut the top part to have a belted straight wide wrap skirt as the bottom part already is,extracted_images/13.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/13_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,9,8.5,"The edited image successfully follows the instruction to create a belted, straight, wide wrap skirt. The top part has been removed, and the remaining part looks like a skirt with a belt tied around the waist. The visual quality of the edited image is high, with minimal distortion and a clean, professional appearance. The overall effect is quite pleasing and closely aligns with the given instruction."
14,cut the bottom part to have a cropped sleeveless vest,extracted_images/14.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/14_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,7,7.5,"The edited image successfully follows the instruction to create a sleeveless vest by cutting the bottom part of the original garment. However, the visual quality of the edited image is slightly lower due to the change in color and the addition of a white shirt underneath, which was not part of the original instruction. The overall effect is a bit disjointed, but the main edit was accomplished."
15,dip into back colour from bottom up to hipline,extracted_images/15.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/15_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,6,7,6.5,"The edited image does not accurately follow the instruction 'dip into back colour from bottom up to hipline'. The original design has been replaced with an abstract pattern that does not maintain the original design's integrity. The visual quality of the edited image is decent, but it does not adhere to the given instruction, leading to a moderate overall score."
16,"colour the printed design of the dress as if overpainted by hand partly, keeping the white ground, use at all light rose beige shades, add white tulle frame to sleeves hem and hem",extracted_images/16.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/16_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,8,8.0,"The edited image follows the instruction fairly well, with the printed design of the dress overpainted in light rose beige shades, and a white tulle frame added to the sleeves and hem. The visual quality is good, with a soft and artistic appearance. However, the design elements are not perfectly aligned with the instruction, and some details are missing, such as the partly overpainted effect."
17,"cut the bottom part, half of the piece and replace by black tulle bottom part",extracted_images/17.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/17_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,7,7.5,"The edited image follows the instruction fairly well, with the bottom part of the garment replaced by a black tulle material. However, the transition between the original garment and the tulle is not perfectly seamless, which slightly reduces the perceptual quality. The overall effect is visually appealing but could benefit from a more refined integration of the tulle."
18,"cut the sleeves make the shoulder higher and armhole with a black tulle framing, apply black tulle pieces to elevate the print design (on eyes and mouth)",extracted_images/18.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/18_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,7,7.5,"The edited image successfully follows the instruction to cut the sleeves and make the shoulder higher, as well as applying black tulle framing around the armholes. The black tulle pieces are also applied to elevate the print design on the eyes and mouth, which aligns well with the given instructions. However, the visual quality of the edited image shows some minor inconsistencies and artifacts, particularly around the edges of the tulle and the print design. Overall, the edit is quite successful but could benefit from minor refinements in visual quality."
19,"put 30cm wide tulle straps that cross in center front to the cleavage, show bows on the shoulder with straps end hanging down for 50cm",extracted_images/19.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/19_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,9,8.5,"The edited image successfully adds tulle straps that cross in the center front and show bows on the shoulder, with the straps ending as instructed. The visual quality is high, with the tulle and bows blending well with the original dress. However, the exact width of the straps is not perfectly clear, and the hanging length of the straps is not precisely 50cm, which slightly reduces the score."
20,"put 30cm wide tulle strap only on the right side that cross in center front to the cleavage, show bows on the shoulder with straps end hanging down for 50cm",extracted_images/20.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/20_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,9,8.5,"The edited image follows the instruction fairly well, with a tulle strap added to the right side that crosses in the center front to the cleavage. The strap ends with a bow on the shoulder and hangs down for approximately 50cm. The visual quality of the edited image is high, with the added strap blending well with the original dress. However, there is a slight discrepancy in the exact width of the strap and the positioning of the bow, which slightly reduces the semantic consistency score."
21,add thick black thread stitches horizontally,extracted_images/21.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/21_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,7,7.5,"The edited image successfully adds thick black thread stitches horizontally across the image, following the instruction closely. However, the stitches are somewhat inconsistent in thickness and spacing, which slightly reduces the perceptual quality. The overall effect is visually interesting but could be more refined."
22,attach gathered black raw edged black fabric tapes narrow and vertically in the shape of a bib to highlight the chest part of the blouse,extracted_images/22.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/22_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,4,6,5.0,"The edited image does not accurately follow the instruction. Instead of attaching narrow, vertically aligned black raw-edged fabric tapes to highlight the chest part, the edited image features a black ruffled fabric that covers the chest area and extends downwards. The visual quality of the edited image is decent, but the design does not match the given instruction."
23,attach a black padded bib opened in the center front n the width of the button placket,extracted_images/23.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/23_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,7,7.5,"The edited image successfully attaches a black padded bib to the front of the shirt, which aligns well with the instruction. However, the bib appears slightly misaligned at the edges, and the overall visual quality could be improved for a more seamless integration. The black bib contrasts well with the white shirt, but the execution has minor imperfections."
24,topstitch the upper part with thick thread in the shape of a womans portrait,extracted_images/24.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/24_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,7,7.5,"The edited image follows the instruction to a reasonable extent by incorporating a woman's portrait on the upper part of the shirt. However, the 'topstitch' effect is not clearly visible, and the portrait appears to be digitally added rather than stitched. The visual quality is decent but lacks the expected 'thick thread' effect. Overall, the edit is creative but does not fully meet the instruction's requirements."
25,dipdye in rose beige from buttom,extracted_images/25.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/25_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,9,8,8.5,"The edited image successfully follows the instruction of 'dipdye in rose beige from bottom' with a clear gradient effect starting from the bottom. The transition from white to rose beige is smooth and visually appealing. The overall quality of the edited image is high, with only minor inconsistencies in the gradient effect near the edges."
26,"make longer by adding white tulle underskirt that looks 10cm out of the long skirt part, add long white tulle sleeves",extracted_images/26.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/26_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,7,7.5,"The edited image successfully adds a white tulle underskirt that extends about 10cm beyond the original skirt, and includes long white tulle sleeves, following the instruction closely. However, the visual quality of the edited image is slightly less natural, with the tulle appearing somewhat artificial and the sleeves not perfectly matching the original dress's neckline. Overall, the edit is quite good but has minor imperfections."
27,"make longer by adding white tulle underskirt that looks 20cm out of the long skirt part, add long white wing sleeves",extracted_images/27.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/27_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,8,8.0,"The edited image successfully adds a white tulle underskirt that extends the length of the skirt by approximately 20cm, and includes long white wing sleeves. The tulle and sleeves are visually consistent with the original dress and blend well with the overall look. The quality of the edit is high, with minimal visible seams or distortions. However, the exact 20cm extension is slightly challenging to verify visually, and the sleeves could be more seamlessly integrated with the original dress."
28,add black tulle shoulder yoke and long tulle sleeves as well as ablack tulle hemframe,extracted_images/28.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/28_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,7,7.5,"The edited image successfully adds a black tulle shoulder yoke and long tulle sleeves, as well as a black tulle hemframe, which follows the instruction closely. However, the visual quality of the edited image has some inconsistencies, particularly in the way the tulle blends with the original dress. The overall effect is visually appealing but could benefit from better integration of the tulle elements."
29,"topstitch huge black tulle breast pockets over the initial position, cut the bottom part of the dress and add a transparent tulle layer skirtpart",extracted_images/29.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/29_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,7,8,7.5,"The edited image follows the instruction reasonably well, with the addition of black tulle over the breast pockets and a transparent tulle layer at the bottom of the dress. However, the overall style and color scheme have changed significantly, which affects the perceptual quality and consistency with the original image."
30,insert 10cm wide black tulle stripe to the sideseam,extracted_images/30.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/30_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,7,7.5,"The edited image successfully adds a black tulle stripe to the sideseam of the garment, following the instruction closely. However, the visual quality of the tulle stripe could be improved for better integration with the rest of the garment. The overall effect is acceptable but shows some inconsistencies in texture and color matching."
31,remove sleeves add a transparent tulle stripe that is inserted to the waistline as another fabric block,extracted_images/31.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/31_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,7,7.5,"The edited image successfully removes the sleeves and adds a transparent tulle stripe at the waistline, which aligns well with the instruction. However, the integration of the tulle stripe with the rest of the garment could be more seamless, and the overall visual quality has some minor inconsistencies. The model's pose and the background remain consistent, contributing to the overall coherence of the edit."
32,"shorten the dress to knee length, shorten sleeves to 3/4 sleeve, add voluminous bow with long bands to the waistline to gather voluminius skirt",extracted_images/32.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/32_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,7,7.5,"The edited image successfully shortens the dress to knee length and changes the sleeves to 3/4 length, which follows the instruction well. However, the addition of the voluminous bow and the gathering of the skirt is not as prominent as described, which slightly reduces the perceptual quality. Overall, the edit is quite good but could be improved in terms of the added details."
33,"make a short very puffy sleeve, add hemframe in goldlamé fabric to the kneelength volumninous skirt, remove the waistband",extracted_images/33.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/33_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,9,8.5,"The edited image successfully follows the instruction by adding very puffy sleeves and a hemframe in gold lamé fabric to the knee-length voluminous skirt. The waistband has been removed, which aligns well with the given editing instruction. The visual quality of the edited image is high, with the gold lamé fabric looking realistic and the puffy sleeves adding a stylish touch. The overall effect is a well-executed and visually appealing edit."
34,"insert 20cm wide white tulle stripe vertically to centerfront and sideseams and center back to make the dress wider and belt the volume in the waistwith bow, shorten sleeve",extracted_images/34.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/34_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,8,8.0,"The edited image successfully follows the instruction by adding a white tulle stripe to the center front, side seams, and center back, making the dress wider. The waist is belted with a bow, and the sleeves are shortened. The visual quality of the edited image is good, with the added tulle and bow looking realistic and well-integrated with the original dress. However, the consistency in pattern matching and the exact width of the tulle could be improved."
35,remove sleeves add 20cm long flat peplum,extracted_images/35.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/35_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,7,8,7.5,"The edited image successfully removes the sleeves and adds a 20cm long flat peplum, which is consistent with the instruction. However, the transition between the original garment and the added peplum is slightly awkward, and the overall visual quality is slightly compromised due to the edit. The peplum appears well-integrated but the overall fit and finish could be improved."
36,"make the item longer by adding one same jacket sewn upside down to the hem (hem to hem), it is opened to the bottom by cutting the shoulder and neckline, remove all sleeves to get a midi slip dress",extracted_images/36.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/36_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,7,7.5,"The edited image follows the instruction fairly well, as it shows a longer garment created by adding another jacket sewn upside down to the hem. However, the visual quality has some inconsistencies, such as the alignment of the seams and the slight color mismatch between the top and bottom parts. The overall effect is a bit uneven, but the main idea of the instruction is achieved."
37,"add scarf in same fabric to the neckline, shorten sleeves",extracted_images/37.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/37_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,7,7.5,"The edited image successfully adds a scarf in a similar fabric to the neckline of the garment, which follows the instruction closely. However, the scarf's pattern and color slightly differ from the original fabric, which affects the perceptual quality. The sleeves appear to be shortened, but the overall shortening is not as pronounced as expected. The visual quality of the edited image is good, but the slight mismatch in fabric and pattern detracts from the overall coherence."
38,shorten sleeve attach balloon pockets to the short sleeves,extracted_images/38.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/38_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,7,7.5,"The edited image successfully shortened the sleeves and added balloon pockets, following the instruction closely. However, the visual quality of the edited image is slightly less sharp compared to the original, and the balloon sleeves appear slightly disproportionate, which affects the overall aesthetic."
39,"attach frame to the hem in same fabric, add padded stiff wrapped scarf in same fabric",extracted_images/39.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/39_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,7,7.5,"The edited image successfully adds a scarf that matches the fabric of the jacket, following the instruction closely. However, the scarf appears slightly blurry and the integration with the jacket could be smoother. The overall effect is visually coherent but has minor imperfections in quality."
40,remove collar and sleeves,extracted_images/40.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/40_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,7,7.5,"The edited image successfully removes the collar and sleeves, following the instruction reasonably well. However, there are slight distortions and unnatural transitions at the edges where the collar and sleeves were removed, which affects the perceptual quality. The overall effect is acceptable but not perfect."
41,make cutouts in the waistline,extracted_images/41.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/41_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,9,8,8.5,"The edited image successfully follows the instruction to make cutouts in the waistline, achieving a high level of semantic consistency. The visual quality of the edited image is good, with the cutouts appearing well-executed and the overall design looking intentional and stylish. The slight reduction in perceptual quality is due to minor inconsistencies in the fabric texture around the cutouts."
42,cut away collar and sleeves make longer with a hem frame in same fabric,extracted_images/42.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/42_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,6,7,6.5,"The edited image partially follows the instruction to 'cut away collar and sleeves and make longer with a hem frame in the same fabric'. However, the collar and sleeves have been replaced with a patterned fabric rather than the same fabric as the original jacket. The visual quality is decent, but the pattern introduces a noticeable difference from the original design. The overall effect is a blend of following the instruction and maintaining visual quality, but with some inconsistencies."
43,"shorten as cropped jacket, attach shoulder epaulettes in same fabric",extracted_images/43.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/43_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,7,7.5,"The edited image successfully shortens the jacket and adds shoulder epaulettes, which are in the same fabric as the jacket. However, the epaulettes are quite ornate with gold embellishments, which deviates slightly from the instruction of using the same fabric without additional embellishments. The visual quality of the edited image is good, but the embellishments on the epaulettes reduce the perceptual quality slightly."
44,"make the item longer by sewing another same blouse to the hem, the shoulder and neckline of second other bottom blouse is cut away to be be attached to the hem, sleeves of lower blouse are now at the hipline and can be used as belt",extracted_images/44.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/44_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,7,6,6.5,"The edited image follows the instruction to some extent by making the blouse longer and adding a belt-like feature from the sleeves. However, the visual quality is not perfect, and the transformation does not fully align with the detailed instruction of cutting away the shoulder and neckline of the second blouse."
45,"make crop top, add ruffle in same fabric to the armhole and shoulder seam to highlicht shoulder",extracted_images/45.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/45_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,8,8.0,"The edited image successfully converts the original top into a crop top with ruffles added to the armhole and shoulder seam, which aligns well with the instruction. The ruffles are visually appealing and blend seamlessly with the fabric, maintaining a high level of visual quality. However, the ruffles are slightly more pronounced than typical, which slightly reduces the semantic consistency score."
46,insert tulle shoulder yoke,extracted_images/46.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/46_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,9,8,8.5,"The edited image successfully follows the instruction to insert a tulle shoulder yoke, which is clearly visible and well-integrated with the original garment. The visual quality is high, with the tulle appearing realistic and well-blended with the solid black fabric of the top. The overall effect is aesthetically pleasing and accurately reflects the intended edit."
47,add wide tulle sleeves,extracted_images/47.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/47_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,9,8,8.5,"The edited image successfully adds wide tulle sleeves to the original sleeveless dress, closely following the instruction. The visual quality of the edited image is high, with the tulle sleeves appearing realistic and well-integrated with the dress. The overall effect is aesthetically pleasing and accurately reflects the intended edit."
48,add voluminous tulle bow to gather the neckline,extracted_images/48.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/48_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,9,8,8.5,"The edited image successfully adds a voluminous tulle bow to the neckline, closely following the instruction. The visual quality is high, with the tulle bow looking realistic and well-integrated with the original garment. The overall effect is aesthetically pleasing and aligns well with the given editing instruction."
49,add tulle hemframe,extracted_images/49.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/49_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,9,8.5,"The edited image successfully adds a tulle hemframe to the original dress, which is semantically consistent with the instruction. The visual quality of the edited image is high, with the tulle hemframe looking realistic and well-integrated. The overall effect is a visually appealing dress with a sophisticated look."
50,add wide tulle sleeves,extracted_images/50.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/50_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,9,8,8.5,"The edited image successfully adds wide tulle sleeves to the original dress, closely following the instruction. The visual quality is high, with the tulle sleeves appearing realistic and well-integrated with the dress. The overall effect is aesthetically pleasing, though there is a slight discrepancy in the texture matching, which slightly reduces the perceptual quality score."
51,add voluminous tulle bow to gather the neckline,extracted_images/51.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/51_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,9,8,8.5,"The edited image successfully adds a voluminous tulle bow to the neckline, closely following the instruction. The visual quality is high, with the bow appearing realistic and well-integrated with the original dress. The overall effect is aesthetically pleasing and aligns well with the given editing instruction."
