row_number,instruction,original_path,edited_path,model_path,semantic_consistency,perceptual_quality,overall,rationale
12,add yellow tulle stripes to the side seams to bow front panel and back panel together,extracted_images/12.png,local_model_evaluation_results/edited_images/12_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edited image successfully adds yellow tulle stripes to the side seams and ties them into a bow at the front, following the instruction closely. The visual quality is high, with the tulle appearing realistic and well-integrated with the original design. The text remains legible and properly positioned. The overall effect is visually appealing and closely matches the given instruction."
13,cut the top part to have a belted straight wide wrap skirt as the bottom part already is,extracted_images/13.png,local_model_evaluation_results/edited_images/13_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image successfully follows the instruction to create a belted straight wide wrap skirt. However, the top part of the original garment has been removed, but the bottom part appears slightly distorted and lacks the natural folds and creases of the original fabric. The overall visual quality is good but could be improved for a more realistic appearance."
14,cut the bottom part to have a cropped sleeveless vest,extracted_images/14.png,local_model_evaluation_results/edited_images/14_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image successfully transforms the original coat into a sleeveless vest by removing the sleeves and the lower part of the coat. However, the color change from cream to green is not consistent with the original instruction, which specified a sleeveless vest without mentioning a color change. The visual quality of the edited image is good, but the color discrepancy slightly reduces the overall score."
15,dip into back colour from bottom up to hipline,extracted_images/15.png,local_model_evaluation_results/edited_images/15_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,9,8.5,"The edited image follows the instruction 'dip into back colour from bottom up to hipline' quite well, with the lower part of the dress blending into the background. However, the transition is not perfectly smooth, which slightly affects the semantic consistency. The visual quality of the edited image is very good, with minimal distortion and clear details. Overall, the edit is successful but could benefit from a more seamless transition."
16,"colour the printed design of the dress as if overpainted by hand partly, keeping the white ground, use at all light rose beige shades, add white tulle frame to sleeves hem and hem",extracted_images/16.png,local_model_evaluation_results/edited_images/16_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image follows the instruction fairly well, with the printed design of the dress overpainted in light rose beige shades and a white tulle frame added to the sleeves and hem. However, the color choice is slightly darker than the intended 'light rose beige' and the white tulle frame could be more refined. The overall visual quality is good but has some room for improvement in color accuracy and detail refinement."
17,"cut the bottom part, half of the piece and replace by black tulle bottom part",extracted_images/17.png,local_model_evaluation_results/edited_images/17_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edited image closely follows the instruction to cut the bottom part of the dress and replace it with a black tulle bottom part. The semantic consistency is high, with the bottom half of the dress being accurately replaced by a black tulle skirt. The perceptual quality is good, with the transition between the dress and the tulle skirt appearing natural and well-integrated. The overall effect is visually appealing and aligns well with the given instruction."
18,"cut the sleeves make the shoulder higher and armhole with a black tulle framing, apply black tulle pieces to elevate the print design (on eyes and mouth)",extracted_images/18.png,local_model_evaluation_results/edited_images/18_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,8,8.0,"The edited image successfully follows the instruction by cutting the sleeves and raising the shoulder, creating a higher armhole. The black tulle framing around the shoulders and the application of black tulle pieces to elevate the print design on the eyes and mouth are well-executed. The visual quality of the edited image is high, with clear and precise modifications. However, there is a slight discrepancy in the symmetry of the tulle framing on the shoulders, which slightly affects the overall score."
19,"put 30cm wide tulle straps that cross in center front to the cleavage, show bows on the shoulder with straps end hanging down for 50cm",extracted_images/19.png,local_model_evaluation_results/edited_images/19_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,9,8.5,"The edited image successfully adds tulle straps that cross in the center front and extend to the cleavage, with bows on the shoulder and the straps hanging down for approximately 50cm. The visual quality of the edited image is high, with the new elements blending well with the original image. The overall effect is aesthetically pleasing and closely follows the given instruction."
20,"put 30cm wide tulle strap only on the right side that cross in center front to the cleavage, show bows on the shoulder with straps end hanging down for 50cm",extracted_images/20.png,local_model_evaluation_results/edited_images/20_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,9,8.5,"The edited image follows the instruction fairly well, with a tulle strap added to the right side that crosses in the center front to the cleavage. The strap ends with bows on the shoulder and the ends hanging down, which aligns with the instruction. The visual quality of the edited image is high, with the tulle strap and bows seamlessly integrated into the image. However, the length of the hanging straps appears slightly shorter than the specified 50cm, which slightly reduces the score."
21,add thick black thread stitches horizontally,extracted_images/21.png,local_model_evaluation_results/edited_images/21_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edited image successfully adds thick black thread stitches horizontally across the image, closely following the instruction. The visual quality is good, with the stitches appearing realistic and well-integrated into the image. The overall effect is aesthetically pleasing and aligns well with the given instruction."
22,attach gathered black raw edged black fabric tapes narrow and vertically in the shape of a bib to highlight the chest part of the blouse,extracted_images/22.png,local_model_evaluation_results/edited_images/22_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,7,8,7.5,"The edited image follows the instruction to add a black fabric tape to the chest area, but the tape is not narrow and raw-edged as specified. Instead, it is a wider, ruffled black fabric that extends vertically. The visual quality of the edited image is good, but the interpretation of the instruction is not fully accurate."
23,attach a black padded bib opened in the center front n the width of the button placket,extracted_images/23.png,local_model_evaluation_results/edited_images/23_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image successfully attaches a black padded bib to the front of the shirt, which is consistent with the instruction. However, the bib is not perfectly aligned with the button placket, and the zipper in the center front is an unexpected addition. The visual quality is good but could be improved for better alignment and accuracy."
24,topstitch the upper part with thick thread in the shape of a womans portrait,extracted_images/24.png,local_model_evaluation_results/edited_images/24_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,8,8.0,"The edited image successfully incorporates a woman's portrait on the upper part of the shirt, following the instruction closely. The visual quality is good, with the portrait seamlessly integrated into the design. However, the 'thick thread' aspect is not literally represented but is creatively interpreted as a printed design."
25,dipdye in rose beige from buttom,extracted_images/25.png,local_model_evaluation_results/edited_images/25_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edited image successfully follows the instruction of 'dipdye in rose beige from bottom' with a clear gradient effect transitioning from white to rose beige. The transition is smooth and visually appealing. The overall quality of the edited image is high, with only minor inconsistencies in the gradient at the edges."
26,"make longer by adding white tulle underskirt that looks 10cm out of the long skirt part, add long white tulle sleeves",extracted_images/26.png,local_model_evaluation_results/edited_images/26_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,8,8.0,"The edited image successfully adds a white tulle underskirt that extends about 10cm beyond the original skirt, and includes long white tulle sleeves. The tulle appears slightly transparent and flows naturally, enhancing the overall aesthetic. The visual quality is high, with the edits blending seamlessly with the original image. The only minor issue is that the tulle sleeves could be a bit more voluminous to match the instruction more closely."
27,"make longer by adding white tulle underskirt that looks 20cm out of the long skirt part, add long white wing sleeves",extracted_images/27.png,local_model_evaluation_results/edited_images/27_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image successfully adds a white tulle underskirt that extends the length of the skirt by approximately 20cm, following the instruction closely. However, the long white wing sleeves are not added, which detracts from the instruction adherence. The visual quality of the edited image is good, but the absence of the wing sleeves slightly reduces the overall impact and quality."
28,add black tulle shoulder yoke and long tulle sleeves as well as ablack tulle hemframe,extracted_images/28.png,local_model_evaluation_results/edited_images/28_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image successfully adds a black tulle shoulder yoke and long tulle sleeves, which aligns well with the instruction. However, the black tulle hemframe is not clearly visible, which slightly reduces the semantic consistency score. The visual quality of the edited image is good, but the integration of the tulle elements could be smoother. Overall, the edit is quite successful but has minor areas for improvement."
29,"topstitch huge black tulle breast pockets over the initial position, cut the bottom part of the dress and add a transparent tulle layer skirtpart",extracted_images/29.png,local_model_evaluation_results/edited_images/29_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,7,8,7.5,"The edited image follows the instruction reasonably well, with the addition of black tulle over the breast pockets and a transparent tulle layer skirt. However, the topstitching and the cut of the bottom part of the dress are not as prominently visible or accurately executed as described. The visual quality of the edited image is good, but there is some inconsistency in the execution of the instructions."
30,insert 10cm wide black tulle stripe to the sideseam,extracted_images/30.png,local_model_evaluation_results/edited_images/30_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image successfully adds a black tulle stripe to the sideseam of the garment, following the instruction closely. However, the tulle appears slightly uneven and the visual quality is not perfect, with some minor distortions and blending issues. Overall, the edit is mostly successful but could benefit from improved visual consistency and blending."
31,remove sleeves add a transparent tulle stripe that is inserted to the waistline as another fabric block,extracted_images/31.png,local_model_evaluation_results/edited_images/31_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image successfully removes the sleeves and adds a transparent tulle stripe at the waistline, which aligns well with the instruction. However, the integration of the new fabric block is not perfectly seamless, and there are slight visual inconsistencies, particularly around the waistline and the transition between the different fabric textures. These minor imperfections slightly reduce the perceptual quality and overall score."
32,"shorten the dress to knee length, shorten sleeves to 3/4 sleeve, add voluminous bow with long bands to the waistline to gather voluminius skirt",extracted_images/32.png,local_model_evaluation_results/edited_images/32_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,8,8.0,"The edited image successfully shortens the dress to knee length and changes the sleeves to 3/4 length, which follows the instruction well. Additionally, a voluminous bow with long bands has been added to the waistline, gathering the skirt as instructed. The visual quality of the edited image is good, with minimal distortion and clear details. The overall effect is a well-executed edit that closely matches the given instructions."
33,"make a short very puffy sleeve, add hemframe in goldlamé fabric to the kneelength volumninous skirt, remove the waistband",extracted_images/33.png,local_model_evaluation_results/edited_images/33_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,9,8.5,"The edited image successfully follows the instruction by adding very puffy sleeves and a hemframe in gold lamé fabric to the knee-length voluminous skirt. The waistband has been removed, which aligns well with the given editing instruction. The visual quality of the edited image is high, with the gold lamé fabric looking realistic and the puffy sleeves well-executed. The overall transformation is coherent and visually appealing."
34,"insert 20cm wide white tulle stripe vertically to centerfront and sideseams and center back to make the dress wider and belt the volume in the waistwith bow, shorten sleeve",extracted_images/34.png,local_model_evaluation_results/edited_images/34_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image follows the instruction fairly well by adding a white tulle stripe to the center front, side seams, and center back of the dress, which makes the dress wider. The addition of a bow at the waist and the shortened sleeves are also present. However, the visual quality of the edited image has some inconsistencies, particularly with the blending of the tulle with the original dress pattern, which appears slightly uneven in some areas."
35,remove sleeves add 20cm long flat peplum,extracted_images/35.png,local_model_evaluation_results/edited_images/35_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edit successfully removes the sleeves and adds a 20cm long flat peplum, closely following the instruction. However, the transition between the original garment and the added peplum appears slightly unnatural, and the overall visual quality is slightly compromised due to minor distortions and inconsistencies in the fabric texture."
36,"make the item longer by adding one same jacket sewn upside down to the hem (hem to hem), it is opened to the bottom by cutting the shoulder and neckline, remove all sleeves to get a midi slip dress",extracted_images/36.png,local_model_evaluation_results/edited_images/36_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,8,8.0,"The edited image successfully transforms the jacket into a midi slip dress by extending the length and removing the sleeves. The shoulder and neckline modifications are well-executed, and the fabric appears consistent. However, there are minor inconsistencies in the fabric texture and slight misalignments in the hem, which slightly detract from the overall quality."
37,"add scarf in same fabric to the neckline, shorten sleeves",extracted_images/37.png,local_model_evaluation_results/edited_images/37_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edited image successfully adds a scarf in the same fabric to the neckline and shortens the sleeves, closely following the instruction. The visual quality is high, with the added scarf and shortened sleeves blending well with the original garment. The overall effect is realistic and aesthetically pleasing."
38,shorten sleeve attach balloon pockets to the short sleeves,extracted_images/38.png,local_model_evaluation_results/edited_images/38_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,8,8.0,"The edited image successfully shortened the sleeves and added balloon pockets to the short sleeves, closely following the instruction. The visual quality of the edited image is good, with the new sleeves and pockets blending well with the original design. However, there are minor inconsistencies in the texture and pattern matching, which slightly affect the overall score."
39,"attach frame to the hem in same fabric, add padded stiff wrapped scarf in same fabric",extracted_images/39.png,local_model_evaluation_results/edited_images/39_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image successfully follows the instruction by adding a padded, stiff-wrapped scarf in the same fabric as the hem frame. However, the integration of the scarf appears slightly artificial, and the visual quality could be improved for a more seamless blend with the original garment."
40,remove collar and sleeves,extracted_images/40.png,local_model_evaluation_results/edited_images/40_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edited image successfully removes the collar and sleeves, closely following the instruction. The visual quality is high, with minimal artifacts and a smooth transition between the edited and original areas. The overall effect is very natural and well-executed."
41,make cutouts in the waistline,extracted_images/41.png,local_model_evaluation_results/edited_images/41_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,8,8.0,"The edited image successfully follows the instruction to make cutouts in the waistline, which is evident from the changes made. The cutouts are visually noticeable and well-executed, maintaining a high level of visual quality. However, the cutouts are slightly irregular, which slightly reduces the overall score."
42,cut away collar and sleeves make longer with a hem frame in same fabric,extracted_images/42.png,local_model_evaluation_results/edited_images/42_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,7,8,7.5,"The edited image successfully follows the instruction to cut away the collar and sleeves and add a hem frame in the same fabric. However, the fringe added to the hem is not entirely consistent with the instruction, which specified a hem frame rather than a fringe. The visual quality of the edited image is good, but the fringe detracts slightly from the overall coherence of the edit."
43,"shorten as cropped jacket, attach shoulder epaulettes in same fabric",extracted_images/43.png,local_model_evaluation_results/edited_images/43_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edited image successfully shortens the jacket and attaches shoulder epaulettes in the same fabric, closely following the instruction. The visual quality is high, with the epaulettes seamlessly integrated into the jacket. The overall effect is polished and professional, with only minor discrepancies in the fabric texture around the epaulettes."
44,"make the item longer by sewing another same blouse to the hem, the shoulder and neckline of second other bottom blouse is cut away to be be attached to the hem, sleeves of lower blouse are now at the hipline and can be used as belt",extracted_images/44.png,local_model_evaluation_results/edited_images/44_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,8,8.0,"The edited image successfully follows the instruction to make the item longer by sewing another same blouse to the hem. The shoulder and neckline of the second blouse have been cut away and attached to the hem, and the sleeves of the lower blouse are now at the hipline and can be used as a belt. The visual quality of the edited image is good, with minimal distortion and a seamless integration of the two blouses. However, there are slight inconsistencies in the fabric texture and shadowing, which slightly detract from the overall realism."
45,"make crop top, add ruffle in same fabric to the armhole and shoulder seam to highlicht shoulder",extracted_images/45.png,local_model_evaluation_results/edited_images/45_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,8,8.0,"The edited image successfully follows the instruction to make a crop top and add ruffles to the armhole and shoulder seam, highlighting the shoulders. The visual quality is good, with the ruffles and crop top looking well-integrated and realistic. However, there are minor inconsistencies in the fabric texture and slight misalignment in the ruffles, which slightly detract from the overall quality."
46,insert tulle shoulder yoke,extracted_images/46.png,local_model_evaluation_results/edited_images/46_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edited image successfully follows the instruction to insert a tulle shoulder yoke, maintaining the integrity of the original design. The tulle yoke is visually appealing and blends well with the rest of the garment. The overall quality is high, with minor adjustments needed to ensure perfect alignment and texture consistency."
47,add wide tulle sleeves,extracted_images/47.png,local_model_evaluation_results/edited_images/47_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edited image successfully adds wide tulle sleeves to the original sleeveless dress, closely following the instruction. The visual quality of the edited image is high, with the tulle sleeves appearing realistic and well-integrated with the rest of the dress. The overall effect is aesthetically pleasing and accurately reflects the intended edit."
48,add voluminous tulle bow to gather the neckline,extracted_images/48.png,local_model_evaluation_results/edited_images/48_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edited image successfully adds a voluminous tulle bow to the neckline, closely following the instruction. The visual quality is high, with the bow appearing realistic and well-integrated with the original garment. The overall effect is aesthetically pleasing and aligns well with the given editing instruction."
49,add tulle hemframe,extracted_images/49.png,local_model_evaluation_results/edited_images/49_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edited image successfully adds a tulle hemframe to the original garment, closely following the instruction. The visual quality is high, with the tulle appearing realistic and well-integrated with the original fabric. The overall effect is aesthetically pleasing and accurately reflects the intended edit."
50,add wide tulle sleeves,extracted_images/50.png,local_model_evaluation_results/edited_images/50_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,9,8.5,"The edited image successfully adds wide, flowing sleeves to the original sleeveless dress, closely following the instruction. The visual quality of the edited image is high, with the sleeves blending well with the dress. The overall effect is aesthetically pleasing and semantically consistent with the given instruction."
51,add voluminous tulle bow to gather the neckline,extracted_images/51.png,local_model_evaluation_results/edited_images/51_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,8,8.0,"The edited image successfully adds a voluminous tulle bow to the neckline, closely following the instruction. The visual quality of the edited image is high, with the bow appearing realistic and well-integrated with the original garment. The overall effect is aesthetically pleasing and aligns well with the given editing instruction."
52,"add voluminous tulle bow to gather the neckline, shorten to blouse and make wide sleeves in same fabric",extracted_images/52.png,local_model_evaluation_results/edited_images/52_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edited image successfully adds a voluminous tulle bow to the neckline, shortens the blouse, and makes the sleeves wide, all in the same fabric. The visual quality is high, with the new elements blending well with the original fabric. The overall effect is a stylish and cohesive transformation."
53,"betone die raffung mit einem zusätzlich aufgesteppten weissen band, mache weisse grobe vertikale stiche auf das rückteil",extracted_images/53.png,local_model_evaluation_results/edited_images/53_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image successfully adds a white band to the back of the jacket and includes white vertical stitches, which follows the instruction closely. However, the visual quality of the stitches and band could be improved for better integration and realism. The overall effect is good but shows some minor inconsistencies in texture and alignment."
54,"insert white wide back panel below the gathering, make it a bit longer like a train",extracted_images/54.png,local_model_evaluation_results/edited_images/54_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image successfully adds a white wide back panel below the gathering, making it longer like a train. However, the transition between the original fabric and the added panel is slightly abrupt, and the added panel appears less natural in terms of fabric texture and flow. The overall effect is visually acceptable but could benefit from more refined blending."
