image_idx,image_path,prompt,part,phrases,mask_path,overlay_path,mask_coverage,mask_max
4,viescore/extracted_images/6.png,"divide into two pieces: a cropped top without sleves and a long wide skirt with slit at center front that is belted at the waist, keep the silhouette of the initial coat",skirt,skirt,clipseg_results/mask_004_skirt.png,clipseg_results/overlay_004_skirt.png,0.12589025497436523,0.9998211860656738
4,viescore/extracted_images/6.png,"divide into two pieces: a cropped top without sleves and a long wide skirt with slit at center front that is belted at the waist, keep the silhouette of the initial coat",top,"top, blouse, shirt",clipseg_results/mask_004_top.png,clipseg_results/overlay_004_top.png,0.10045930743217468,0.9997825026512146
4,viescore/extracted_images/6.png,"divide into two pieces: a cropped top without sleves and a long wide skirt with slit at center front that is belted at the waist, keep the silhouette of the initial coat",coat,"coat, jacket",clipseg_results/mask_004_coat.png,clipseg_results/overlay_004_coat.png,0.07234793901443481,0.999652624130249
5,viescore/extracted_images/7.png,"make a long voluminous skirt from this, belted as the initial coat, add topstitched rectangle pockets to the front",pockets,"pockets, pocket",clipseg_results/mask_005_pockets.png,clipseg_results/overlay_005_pockets.png,0.1467871218919754,0.9997172355651855
5,viescore/extracted_images/7.png,"make a long voluminous skirt from this, belted as the initial coat, add topstitched rectangle pockets to the front",belt,"belt, belted",clipseg_results/mask_005_belt.png,clipseg_results/overlay_005_belt.png,0.023376086726784706,0.9988726377487183
5,viescore/extracted_images/7.png,"make a long voluminous skirt from this, belted as the initial coat, add topstitched rectangle pockets to the front",skirt,skirt,clipseg_results/mask_005_skirt.png,clipseg_results/overlay_005_skirt.png,0.12589025497436523,0.9998211860656738
5,viescore/extracted_images/7.png,"make a long voluminous skirt from this, belted as the initial coat, add topstitched rectangle pockets to the front",top,"top, blouse, shirt",clipseg_results/mask_005_top.png,clipseg_results/overlay_005_top.png,0.10045930743217468,0.9997825026512146
5,viescore/extracted_images/7.png,"make a long voluminous skirt from this, belted as the initial coat, add topstitched rectangle pockets to the front",coat,"coat, jacket",clipseg_results/mask_005_coat.png,clipseg_results/overlay_005_coat.png,0.07234793901443481,0.999652624130249
6,viescore/extracted_images/8.png,"shorten the coat to cropped top, add a silver coating to the shwal collar",collar,"collar, neckline, neck",clipseg_results/mask_006_collar.png,clipseg_results/overlay_006_collar.png,0.006357902195304632,0.9997509717941284
6,viescore/extracted_images/8.png,"shorten the coat to cropped top, add a silver coating to the shwal collar",top,"top, blouse, shirt",clipseg_results/mask_006_top.png,clipseg_results/overlay_006_top.png,0.10045930743217468,0.9997825026512146
6,viescore/extracted_images/8.png,"shorten the coat to cropped top, add a silver coating to the shwal collar",coat,"coat, jacket",clipseg_results/mask_006_coat.png,clipseg_results/overlay_006_coat.png,0.07234793901443481,0.999652624130249
7,viescore/extracted_images/9.png,cut the top to have a wide straight long wrap skirt belted at the side,belt,"belt, belted",clipseg_results/mask_007_belt.png,clipseg_results/overlay_007_belt.png,0.023376086726784706,0.9988726377487183
7,viescore/extracted_images/9.png,cut the top to have a wide straight long wrap skirt belted at the side,skirt,skirt,clipseg_results/mask_007_skirt.png,clipseg_results/overlay_007_skirt.png,0.12589025497436523,0.9998211860656738
7,viescore/extracted_images/9.png,cut the top to have a wide straight long wrap skirt belted at the side,top,"top, blouse, shirt",clipseg_results/mask_007_top.png,clipseg_results/overlay_007_top.png,0.10045930743217468,0.9997825026512146
8,viescore/extracted_images/10.png,cut the bottom to have a wide straight cropped top,top,"top, blouse, shirt",clipseg_results/mask_008_top.png,clipseg_results/overlay_008_top.png,0.10045930743217468,0.9997825026512146
