image,prompt
images/image_061.png,"Vorne geschlossen, Ärmel entfernen, Einen langen Rockteil aus weisser Spitze ansetzen der wie gardine aussieht, Ballonartige eckige Taschen aus dem Jackenstoff aufsetzen die über den rockteil ragen"
images/image_062.png,"Vorne geschlossen, Ärmel zu kurzarm kürzen, Einen langen Rockteil aus pink farbener Tüllspitze ansetzen der wie gardine aussieht, Ballonartige eckige Taschen aus dem Jackenstoff aufsetzen die über den rockteil ragen"
images/image_063.png,"Photorealistic product photo, front view. A fashion skirt designed in an upcycling look: the waistband is made from the bottom part of a black jacket, with visible seams, zipper and pockets. Attached to this waistband is a very voluminous, floor-length white tulle skirt, airy, layered and elegant, falling evenly. The photo is on a pure white background, high resolution, shop style, luxury fashion editorial quality."
images/image_066.png,setze in die seitennähte schwarze tüllkanten ein
images/image_067.png,"add a drawstring in the waistlibe that is gathered wit black tulle ribbon that comes out at the sideseams, add wide tulle stripe to the sideseams"
images/image_068.png,"add a drawstring in the wist that is gathered with a tulle band that comes out at the sideseams as bow, add tulle stripe to the sides edges"
images/image_069.png,"add a drawstring in the waist that is gathered with a white band that comes out at the sideseams as bow, add 3cm tulle stripe along the sides edges"
images/image_070.png,TOPSTITCH A TULLE BREAST POCKET FILLED WITH RHINESTONES
images/image_071.png,TOPSTITCH A VERY TRANSPARENT TULLE BREAST POCKET THAT IS FILLED WITH LOSE RHINESTONES IN THE POCKETS THA SHOW THROUGH
images/image_072.png,EMBROIDER THE HEM WITH HUGE RECTANGLE BLACK RHINESTONES
images/image_073.png,TOPSTITCH A BLACK TULLE BIB THAT IS OPEN AT THE BUTTON LINE
images/image_074.png,TOPSTITCH  10 BLACK TULLE RIBBONS VERTIKALLY to the chest IN THE SHAPE OF A BIB
images/image_075.png,INSERT A BLACK TULLE FABRIC BLOCK TO THE WAISTLINE to make it longer
images/image_076.png,add tulle stripe to the chest
images/image_077.png,add neon yellow ribbon along shoulder and arm
images/image_078.png,"make short sleeves, topstitch pockets to the front"
