row_number,edit_instruction
62,"Vorne geschlossen

Ärmel entfernen

Einen transparenten langen schwarzen Rockteil unten ansetzen

Ballonartige eckige Taschen aus dem Jackenstoff hinzufügen"
63,"Vorne geschlossen, Ärmel entfernen, Einen langen Rockteil aus weisser Spitze ansetzen der wie gardine aussieht, Ballonartige eckige Taschen aus dem Jackenstoff aufsetzen die über den rockteil ragen"
64,"Vorne geschlossen, Ärmel zu kurzarm kürzen, Einen langen Rockteil aus pink farbener Tüllspitze ansetzen der wie gardine aussieht, Ballonartige eckige Taschen aus dem Jackenstoff aufsetzen die über den rockteil ragen"
65,"Photorealistic product photo, front view. A fashion skirt designed in an upcycling look: the waistband is made from the bottom part of a black jacket, with visible seams, zipper and pockets. Attached to this waistband is a very voluminous, floor-length white tulle skirt, airy, layered and elegant, falling evenly. The photo is on a pure white background, high resolution, shop style, luxury fashion editorial quality."
68,setze in die seitennähte schwarze tüllkanten ein
69,"add a drawstring in the waistlibe that is gathered wit black tulle ribbon that comes out at the sideseams, add wide tulle stripe to the sideseams"
70,"add a drawstring in the wist that is gathered with a tulle band that comes out at the sideseams as bow, add tulle stripe to the sides edges"
71,"add a drawstring in the waist that is gathered with a white band that comes out at the sideseams as bow, add 3cm tulle stripe along the sides edges"
72,TOPSTITCH A TULLE BREAST POCKET FILLED WITH RHINESTONES
73,TOPSTITCH A VERY TRANSPARENT TULLE BREAST POCKET THAT IS FILLED WITH LOSE RHINESTONES IN THE POCKETS THA SHOW THROUGH
74,EMBROIDER THE HEM WITH HUGE RECTANGLE BLACK RHINESTONES
75,TOPSTITCH A BLACK TULLE BIB THAT IS OPEN AT THE BUTTON LINE
76,TOPSTITCH  10 BLACK TULLE RIBBONS VERTIKALLY to the chest IN THE SHAPE OF A BIB
77,INSERT A BLACK TULLE FABRIC BLOCK TO THE WAISTLINE to make it longer
78,add tulle stripe to the chest
79,add neon yellow ribbon along shoulder and arm
80,"make short sleeves, topstitch pockets to the front"
